t:18.980000000000167 fi:1.008582524960788 vz:2.7107407915995942 wy:0.9406287039744388 ngpu:3692.3450968683132 k2:3632 k1:3632
t:18.93000000000016 fi:1.0072976470087005 vz:2.7328686154583877 wy:0.95109671384781 ngpu:3725.3518862777682 k2:3652 k1:3652
t:18.950000000000163 fi:1.0078716401016865 vz:2.724020647432415 wy:0.9468816023825861 ngpu:3711.81852945442 k2:3644 k1:3644
t:19.05000000000018 fi:1.0003891833354797 vz:2.6674800640105487 wy:0.9230301387906232 ngpu:3524.2686068477346 k2:3600 k1:3600
t:19.020000000000174 fi:1.0092565784131011 vz:2.692982082861824 wy:0.9323846696688669 ngpu:3615.5638084659854 k2:3616 k1:3616
t:19.080000000000183 fi:1.0005166731976387 vz:2.653499959644878 wy:0.9164779511594575 ngpu:3438.9528481205543 k2:3588 k1:3588
t:19.150000000000194 fi:1.0000988917654663 vz:2.619669946782453 wy:0.9005779431108085 ngpu:3260.457632749454 k2:3560 k1:3560
t:19.090000000000185 fi:1.000518752676924 vz:2.6487664531316524 wy:0.9142548623095064 ngpu:3411.7329766393104 k2:3584 k1:3584
t:18.920000000000158 fi:1.0069801646706973 vz:2.737290485021984 wy:0.9532182538803974 ngpu:3732.293216703506 k2:3656 k1:3656
t:19.07000000000018 fi:1.000494294168361 vz:2.6581974789899974 wy:0.9186822443237236 ngpu:3466.7746923952545 k2:3592 k1:3592
t:19.13000000000019 fi:1.0003218068285222 vz:2.6294942625960287 wy:0.9051949380934818 ngpu:3308.658219930795 k2:3568 k1:3568
t:19.020000000000174 fi:1.000083005165426 vz:2.6811054561189382 wy:0.9293833280666277 ngpu:3615.3056197557007 k2:3612 k1:3612
t:19.030000000000175 fi:1.0002046342393431 vz:2.676605031627444 wy:0.9272896402742836 ngpu:3584.30501541699 k2:3608 k1:3608
t:19.1800000000002 fi:1.008751407978693 vz:2.616322925631578 wy:0.8964484717771902 ngpu:3190.5257722397528 k2:3552 k1:3552
t:19.010000000000172 fi:1.0091169491021281 vz:2.697455347477222 wy:0.9344590659714526 ngpu:3647.378097714397 k2:3620 k1:3620
t:19.040000000000177 fi:1.00030675486573 vz:2.6720628356406904 wy:0.9251715140379799 ngpu:3553.9632497164775 k2:3604 k1:3604
t:19.240000000000208 fi:1.00718430807591 vz:2.5856411285881507 wy:0.8821332693593934 ngpu:3066.5842655240385 k2:3528 k1:3528
t:18.99000000000017 fi:1.0087800715697757 vz:2.7063127281955808 wy:0.9385629402108001 ngpu:3686.062310029073 k2:3628 k1:3628
t:19.280000000000214 fi:1.005716826366535 vz:2.564762525169141 wy:0.8724750742490018 ngpu:2993.0550882324114 k2:3512 k1:3512
t:19.26000000000021 fi:1.00649274263575 vz:2.575239782390576 wy:0.8773120753898969 ngpu:3028.955886243076 k2:3520 k1:3520
t:19.140000000000192 fi:1.0002207829005447 vz:2.6245969387805266 wy:0.9028929223685547 ngpu:3284.2883586745884 k2:3564 k1:3564
t:19.220000000000205 fi:1.0077913167461372 vz:2.595960014956163 wy:0.8869334685134916 ngpu:3106.008250616491 k2:3536 k1:3536
t:19.300000000000217 fi:1.0048568694758235 vz:2.554215655108459 wy:0.8676271383382396 ngpu:2958.8159041234658 k2:3504 k1:3504
t:19.12000000000019 fi:1.0004020320544664 vz:2.6343609106177635 wy:0.9074830846487121 ngpu:3333.5772987477094 k2:3572 k1:3572
t:19.100000000000186 fi:1.0005004108043025 vz:2.643998058797768 wy:0.9120140180410107 ngpu:3385.104207096896 k2:3580 k1:3580
t:19.200000000000202 fi:1.008313674685049 vz:2.6061896363701114 wy:0.8917071560829345 ngpu:3147.297981301929 k2:3544 k1:3544
t:19.170000000000197 fi:1.0089385834291844 vz:2.6213511641158003 wy:0.8988050612365611 ngpu:3212.889648366674 k2:3556 k1:3556
t:19.410000000000235 fi:1.0077474657777636 vz:2.5064011573389626 wy:0.8436518181098381 ngpu:2794.364333058728 k2:3464 k1:3464
t:19.45000000000024 fi:1.0048660754248344 vz:2.4845693758377925 wy:0.8339962032872391 ngpu:2745.6360662560464 k2:3448 k1:3448
t:19.290000000000216 fi:1.005297329741795 vz:2.559497407742467 wy:0.8700521805595687 ngpu:2975.731838598723 k2:3508 k1:3508
t:19.210000000000203 fi:1.008063078337271 vz:2.60108641927211 wy:0.8893239842908868 ngpu:3126.415429777364 k2:3540 k1:3540
t:19.330000000000222 fi:1.00341027326999 vz:2.538278001710133 wy:0.8603446504931568 ngpu:2910.4332602664017 k2:3492 k1:3492
t:19.340000000000224 fi:1.0028865521011776 vz:2.532937049873695 wy:0.8579164554377158 ngpu:2895.0684562609695 k2:3488 k1:3488
t:19.32000000000022 fi:1.0039132790674425 vz:2.5436052254106394 wy:0.8627728382028579 ngpu:2926.174367182014 k2:3496 k1:3496
t:19.37000000000023 fi:1.0011918707077945 vz:2.516838656564473 wy:0.8506366648362279 ngpu:2851.1578606134017 k2:3476 k1:3476
t:19.25000000000021 fi:1.0068490846131997 vz:2.580450347727282 wy:0.8797249649500986 ngpu:3047.5499255788336 k2:3524 k1:3524
t:19.230000000000206 fi:1.0074983905971495 vz:2.5908112984964955 wy:0.8845363302064171 ngpu:3086.0674738745474 k2:3532 k1:3532
t:19.1900000000002 fi:1.0085431128647004 vz:2.6112687746155907 wy:0.8940822405058609 ngpu:3168.6650129533386 k2:3548 k1:3548
